localidad	avg_risk_estimate	population	cases	date
Usme	5.833333333	195739	18	2020-05
Usme	4.266666667	195739	15	2020-06
Usme	7	195739	12	2020-07
Usme	6.25	195739	8	2020-08
Usme	8.285714286	195739	7	2020-09
Usme	8.333333333	195739	6	2020-10
Usme	5.066666667	195739	15	2020-11
Usme	8.071428571	195739	14	2020-12
Usme	0	199667	0	2021-01
Usme	5	199667	1	2021-02
Usme	0	199667	0	2021-03
Usme	7.25	199667	8	2021-04
Usme	5.375	199667	8	2021-05
Usme	5.111111111	199667	9	2021-06
Usme	7.571428571	199667	7	2021-07
Usme	5	199667	5	2021-08
Usme	6.75	199667	16	2021-09
Usme	7	199667	16	2021-10
Usme	5	199667	13	2021-11
Usme	5.285714286	199667	14	2021-12
Usme	0	202594	0	2022-01
Usme	4.692307692	202594	13	2022-02
Usme	6.916666667	202594	12	2022-03
Usme	4.777777778	202594	18	2022-04
Usme	4.4	202594	5	2022-05
Usme	5	202594	6	2022-06
Usme	3	202594	8	2022-07
Usme	5.571428571	202594	7	2022-08
Usme	4.727272727	202594	11	2022-09
Usme	5.846153846	202594	13	2022-10
Usme	5.214285714	202594	14	2022-11
Usme	7	202594	7	2022-12
